id,language,snippet,description
1,JavaScript,"// Example 1: write to a file
console.log('Example 1');",Auto-generated snippet 1 demonstrating how to write to a file in JavaScript
2,PHP,"<?php
// Example 2: use recursion
echo 'Example 2';
?>",Auto-generated snippet 2 demonstrating how to use recursion in PHP
3,TypeScript,"// Example 3: iterate over a list in TypeScript
// code placeholder",Auto-generated snippet 3 demonstrating how to iterate over a list in TypeScript
4,C,"/* Example 4: perform HTTP POST */
printf(""Example 4\n"");",Auto-generated snippet 4 demonstrating how to perform HTTP POST in C
5,C#,"// Example 5: format a string in C#
// code placeholder",Auto-generated snippet 5 demonstrating how to format a string in C#
6,CSS,"// Example 6: handle exception in CSS
// code placeholder",Auto-generated snippet 6 demonstrating how to handle exception in CSS
7,R,"// Example 7: compute factorial in R
// code placeholder",Auto-generated snippet 7 demonstrating how to compute factorial in R
8,Perl,"// Example 8: create an array in Perl
// code placeholder",Auto-generated snippet 8 demonstrating how to create an array in Perl
9,JSON,"// Example 9: generate random numbers in JSON
// code placeholder",Auto-generated snippet 9 demonstrating how to generate random numbers in JSON
10,Clojure,"// Example 10: send HTTP request in Clojure
// code placeholder",Auto-generated snippet 10 demonstrating how to send HTTP request in Clojure
11,SQL,"// Example 11: generate random numbers in SQL
// code placeholder",Auto-generated snippet 11 demonstrating how to generate random numbers in SQL
12,Bash,"// Example 12: write to a file in Bash
// code placeholder",Auto-generated snippet 12 demonstrating how to write to a file in Bash
13,Rust,"// Example 13: format a string
println!(""Example 13"");",Auto-generated snippet 13 demonstrating how to format a string in Rust
14,Rust,"// Example 14: send HTTP request
println!(""Example 14"");",Auto-generated snippet 14 demonstrating how to send HTTP request in Rust
15,Lua,"// Example 15: log an error in Lua
// code placeholder",Auto-generated snippet 15 demonstrating how to log an error in Lua
16,TypeScript,"// Example 16: render HTML in TypeScript
// code placeholder",Auto-generated snippet 16 demonstrating how to render HTML in TypeScript
17,Haskell,"// Example 17: define a function in Haskell
// code placeholder",Auto-generated snippet 17 demonstrating how to define a function in Haskell
18,HTML,"// Example 18: serialize to XML in HTML
// code placeholder",Auto-generated snippet 18 demonstrating how to serialize to XML in HTML
19,HTML,"// Example 19: render HTML in HTML
// code placeholder",Auto-generated snippet 19 demonstrating how to render HTML in HTML
20,Lua,"// Example 20: compute factorial in Lua
// code placeholder",Auto-generated snippet 20 demonstrating how to compute factorial in Lua
21,Rust,"// Example 21: create an array
println!(""Example 21"");",Auto-generated snippet 21 demonstrating how to create an array in Rust
22,Ruby,"# Example 22: convert a type
puts 'Example 22'",Auto-generated snippet 22 demonstrating how to convert a type in Ruby
23,Rust,"// Example 23: iterate over a list
println!(""Example 23"");",Auto-generated snippet 23 demonstrating how to iterate over a list in Rust
24,Lua,"// Example 24: connect to a database in Lua
// code placeholder",Auto-generated snippet 24 demonstrating how to connect to a database in Lua
25,HTML,"// Example 25: sort a list in HTML
// code placeholder",Auto-generated snippet 25 demonstrating how to sort a list in HTML
26,Julia,"// Example 26: use regex in Julia
// code placeholder",Auto-generated snippet 26 demonstrating how to use regex in Julia
27,Java,"// Example 27: sort a list
System.out.println(""Example 27"");",Auto-generated snippet 27 demonstrating how to sort a list in Java
28,Go,"// Example 28: write to a file
fmt.Println(""Example 28"")",Auto-generated snippet 28 demonstrating how to write to a file in Go
29,Python,"# Example 29: use regex
print('Example 29')",Auto-generated snippet 29 demonstrating how to use regex in Python
30,MATLAB,"// Example 30: log an error in MATLAB
// code placeholder",Auto-generated snippet 30 demonstrating how to log an error in MATLAB
31,Java,"// Example 31: perform HTTP POST
System.out.println(""Example 31"");",Auto-generated snippet 31 demonstrating how to perform HTTP POST in Java
32,Haskell,"// Example 32: sort a list in Haskell
// code placeholder",Auto-generated snippet 32 demonstrating how to sort a list in Haskell
33,C++,"// Example 33: write to a file
std::cout << ""Example 33"" << std::endl;",Auto-generated snippet 33 demonstrating how to write to a file in C++
34,CSS,"// Example 34: define a function in CSS
// code placeholder",Auto-generated snippet 34 demonstrating how to define a function in CSS
35,JavaScript,"// Example 35: compute factorial
console.log('Example 35');",Auto-generated snippet 35 demonstrating how to compute factorial in JavaScript
36,Haskell,"// Example 36: parse JSON in Haskell
// code placeholder",Auto-generated snippet 36 demonstrating how to parse JSON in Haskell
37,Elixir,"// Example 37: write to a file in Elixir
// code placeholder",Auto-generated snippet 37 demonstrating how to write to a file in Elixir
38,C#,"// Example 38: read a file in C#
// code placeholder",Auto-generated snippet 38 demonstrating how to read a file in C#
39,C,"/* Example 39: format a string */
printf(""Example 39\n"");",Auto-generated snippet 39 demonstrating how to format a string in C
40,JavaScript,"// Example 40: write to a file
console.log('Example 40');",Auto-generated snippet 40 demonstrating how to write to a file in JavaScript
41,PowerShell,"// Example 41: parse JSON in PowerShell
// code placeholder",Auto-generated snippet 41 demonstrating how to parse JSON in PowerShell
42,Java,"// Example 42: use regex
System.out.println(""Example 42"");",Auto-generated snippet 42 demonstrating how to use regex in Java
43,Dockerfile,"// Example 43: connect to a database in Dockerfile
// code placeholder",Auto-generated snippet 43 demonstrating how to connect to a database in Dockerfile
44,Swift,"// Example 44: read a file
print(""Example 44"")",Auto-generated snippet 44 demonstrating how to read a file in Swift
45,Haskell,"// Example 45: generate random numbers in Haskell
// code placeholder",Auto-generated snippet 45 demonstrating how to generate random numbers in Haskell
46,YAML,"// Example 46: log an error in YAML
// code placeholder",Auto-generated snippet 46 demonstrating how to log an error in YAML
47,C#,"// Example 47: log an error in C#
// code placeholder",Auto-generated snippet 47 demonstrating how to log an error in C#
48,JSON,"// Example 48: handle exception in JSON
// code placeholder",Auto-generated snippet 48 demonstrating how to handle exception in JSON
49,C,"/* Example 49: compute factorial */
printf(""Example 49\n"");",Auto-generated snippet 49 demonstrating how to compute factorial in C
50,Dockerfile,"// Example 50: parse JSON in Dockerfile
// code placeholder",Auto-generated snippet 50 demonstrating how to parse JSON in Dockerfile
51,Dockerfile,"// Example 51: format a string in Dockerfile
// code placeholder",Auto-generated snippet 51 demonstrating how to format a string in Dockerfile
52,SQL,"// Example 52: format a string in SQL
// code placeholder",Auto-generated snippet 52 demonstrating how to format a string in SQL
53,SQL,"// Example 53: render HTML in SQL
// code placeholder",Auto-generated snippet 53 demonstrating how to render HTML in SQL
54,SQL,"// Example 54: perform HTTP POST in SQL
// code placeholder",Auto-generated snippet 54 demonstrating how to perform HTTP POST in SQL
55,Scala,"// Example 55: render HTML in Scala
// code placeholder",Auto-generated snippet 55 demonstrating how to render HTML in Scala
56,Julia,"// Example 56: generate random numbers in Julia
// code placeholder",Auto-generated snippet 56 demonstrating how to generate random numbers in Julia
57,MATLAB,"// Example 57: create an array in MATLAB
// code placeholder",Auto-generated snippet 57 demonstrating how to create an array in MATLAB
58,Dockerfile,"// Example 58: use recursion in Dockerfile
// code placeholder",Auto-generated snippet 58 demonstrating how to use recursion in Dockerfile
59,TypeScript,"// Example 59: send HTTP request in TypeScript
// code placeholder",Auto-generated snippet 59 demonstrating how to send HTTP request in TypeScript
60,R,"// Example 60: sort a list in R
// code placeholder",Auto-generated snippet 60 demonstrating how to sort a list in R
61,Lua,"// Example 61: compute factorial in Lua
// code placeholder",Auto-generated snippet 61 demonstrating how to compute factorial in Lua
62,Bash,"// Example 62: handle exception in Bash
// code placeholder",Auto-generated snippet 62 demonstrating how to handle exception in Bash
63,SQL,"// Example 63: parse JSON in SQL
// code placeholder",Auto-generated snippet 63 demonstrating how to parse JSON in SQL
64,HTML,"// Example 64: parse JSON in HTML
// code placeholder",Auto-generated snippet 64 demonstrating how to parse JSON in HTML
65,PowerShell,"// Example 65: compute factorial in PowerShell
// code placeholder",Auto-generated snippet 65 demonstrating how to compute factorial in PowerShell
66,C#,"// Example 66: parse JSON in C#
// code placeholder",Auto-generated snippet 66 demonstrating how to parse JSON in C#
67,Haskell,"// Example 67: render HTML in Haskell
// code placeholder",Auto-generated snippet 67 demonstrating how to render HTML in Haskell
68,PowerShell,"// Example 68: sort a list in PowerShell
// code placeholder",Auto-generated snippet 68 demonstrating how to sort a list in PowerShell
69,CSS,"// Example 69: use regex in CSS
// code placeholder",Auto-generated snippet 69 demonstrating how to use regex in CSS
70,Swift,"// Example 70: serialize to XML
print(""Example 70"")",Auto-generated snippet 70 demonstrating how to serialize to XML in Swift
71,Rust,"// Example 71: define a function
println!(""Example 71"");",Auto-generated snippet 71 demonstrating how to define a function in Rust
72,Elixir,"// Example 72: define a function in Elixir
// code placeholder",Auto-generated snippet 72 demonstrating how to define a function in Elixir
73,JavaScript,"// Example 73: convert a type
console.log('Example 73');",Auto-generated snippet 73 demonstrating how to convert a type in JavaScript
74,Bash,"// Example 74: generate random numbers in Bash
// code placeholder",Auto-generated snippet 74 demonstrating how to generate random numbers in Bash
75,CSS,"// Example 75: define a function in CSS
// code placeholder",Auto-generated snippet 75 demonstrating how to define a function in CSS
76,PowerShell,"// Example 76: define a function in PowerShell
// code placeholder",Auto-generated snippet 76 demonstrating how to define a function in PowerShell
77,Clojure,"// Example 77: iterate over a list in Clojure
// code placeholder",Auto-generated snippet 77 demonstrating how to iterate over a list in Clojure
78,MATLAB,"// Example 78: iterate over a list in MATLAB
// code placeholder",Auto-generated snippet 78 demonstrating how to iterate over a list in MATLAB
